"Symbol","DeclaredAt","UsageCount","UsageFiles","Snippet"
"closeCancelModal","C:\FacturalesNuevo\settings.html:4967","2","C:\FacturalesNuevo\assets\js\quote-issued-page.js:1; C:\FacturalesNuevo\assets\js\issued-page.js:1","window.closeCancelModal = function() {"
"closeCancelModal","C:\FacturalesNuevo\assets\js\quote-issued-page.js:465","2","C:\FacturalesNuevo\settings.html:1; C:\FacturalesNuevo\assets\js\issued-page.js:1","window.closeCancelModal = closeCancelModal;"
"closeCancelModal","C:\FacturalesNuevo\assets\js\issued-page.js:467","2","C:\FacturalesNuevo\settings.html:1; C:\FacturalesNuevo\assets\js\quote-issued-page.js:1","window.closeCancelModal = closeCancelModal;"
"closeClientModal","C:\FacturalesNuevo\assets\js\users-page.js:1079","0","","window.closeClientModal = closeClientModal;"
"closeCreateClientModal","C:\FacturalesNuevo\assets\js\invoice.js:425","0","","window.closeCreateClientModal = closeCreateClientModal;"
"closeDeleteModal","C:\FacturalesNuevo\assets\js\users-page.js:1081","2","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.closeDeleteModal = closeDeleteModal;"
"closeDeleteModal","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:319","2","C:\FacturalesNuevo\assets\js\users-page.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.closeDeleteModal = closeDeleteModal;"
"closeDeleteModal","C:\FacturalesNuevo\assets\js\drafts-page.js:319","2","C:\FacturalesNuevo\assets\js\users-page.js:1; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.closeDeleteModal = closeDeleteModal;"
"closeDeleteTransactionModal","C:\FacturalesNuevo\assets\js\expenses-page.js:1199","0","","window.closeDeleteTransactionModal = closeDeleteTransactionModal;"
"closeExpenseModal","C:\FacturalesNuevo\assets\js\expenses-page.js:1181","0","","window.closeExpenseModal = closeExpenseModal;"
"closeImportModal","C:\FacturalesNuevo\assets\js\users-page.js:1085","0","","window.closeImportModal = closeImportModal;"
"closeInvoiceCreateClientModal","C:\FacturalesNuevo\assets\js\invoice-clients.js:326","0","","window.closeInvoiceCreateClientModal = closeInvoiceCreateClientModal;"
"closePaymentMethodModal","C:\FacturalesNuevo\assets\js\invoice.js:428","0","","window.closePaymentMethodModal = closePaymentMethodModal;"
"closePlanChangeModal","C:\FacturalesNuevo\subscribe.html:754","0","","window.closePlanChangeModal = function () {"
"closePlanModal","C:\FacturalesNuevo\settings.html:4961","0","","window.closePlanModal = function() {"
"closeQuoteCreateClientModal","C:\FacturalesNuevo\assets\js\quote-clients.js:326","0","","window.closeQuoteCreateClientModal = closeQuoteCreateClientModal;"
"closeRecoveryModal","C:\FacturalesNuevo\signin.html:929","2","C:\FacturalesNuevo\signin.html:2","window.closeRecoveryModal = function() {"
"closeTeamDeleteModal","C:\FacturalesNuevo\settings.html:5843","1","C:\FacturalesNuevo\settings.html:1","window.closeTeamDeleteModal = function() {"
"closeTeamUserModal","C:\FacturalesNuevo\settings.html:5798","1","C:\FacturalesNuevo\settings.html:1","window.closeTeamUserModal = function() {"
"collectFormData","C:\FacturalesNuevo\assets\js\quote-page.js:926","1","C:\FacturalesNuevo\assets\js\new-page.js:1","window.collectFormData = collectFormData;"
"collectFormData","C:\FacturalesNuevo\assets\js\new-page.js:820","1","C:\FacturalesNuevo\assets\js\quote-page.js:1","window.collectFormData = collectFormData;"
"confirmBulkDelete","C:\FacturalesNuevo\assets\js\users-page.js:1073","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.confirmBulkDelete = confirmBulkDelete;"
"confirmBulkDelete","C:\FacturalesNuevo\assets\js\expenses-page.js:1220","1","C:\FacturalesNuevo\assets\js\users-page.js:1","window.confirmBulkDelete = confirmBulkDelete;"
"confirmCancelInvoice","C:\FacturalesNuevo\assets\js\issued-page.js:468","0","","window.confirmCancelInvoice = confirmCancelInvoice;"
"confirmCancelQuote","C:\FacturalesNuevo\assets\js\quote-issued-page.js:466","0","","window.confirmCancelQuote = confirmCancelQuote;"
"confirmDeleteClient","C:\FacturalesNuevo\assets\js\users-page.js:1082","0","","window.confirmDeleteClient = confirmDeleteClient;"
"confirmDeleteDraft","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:320","1","C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.confirmDeleteDraft = confirmDeleteDraft;"
"confirmDeleteDraft","C:\FacturalesNuevo\assets\js\drafts-page.js:320","1","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.confirmDeleteDraft = confirmDeleteDraft;"
"confirmDeleteTeamUser","C:\FacturalesNuevo\settings.html:5849","0","","window.confirmDeleteTeamUser = function() {"
"confirmDeleteTransaction","C:\FacturalesNuevo\assets\js\expenses-page.js:1200","0","","window.confirmDeleteTransaction = confirmDeleteTransaction;"
"confirmPlanChange","C:\FacturalesNuevo\subscribe.html:761","0","","window.confirmPlanChange = async function () {"
"createClient","C:\FacturalesNuevo\assets\js\clients.js:391","1","C:\FacturalesNuevo\assets\js\modal-cliente.js:1","window.createClient = createClient;"
"createInvoice","C:\FacturalesNuevo\assets\js\invoices.js:599","5","C:\FacturalesNuevo\assets\js\new-page.js:4; C:\FacturalesNuevo\assets\js\invoices.js:1","window.createInvoice = createInvoice;"
"createQuote","C:\FacturalesNuevo\assets\js\quotes.js:505","9","C:\FacturalesNuevo\assets\js\quote-page.js:8; C:\FacturalesNuevo\assets\js\quotes.js:1","window.createQuote = createQuote;"
"createSeries","C:\FacturalesNuevo\assets\js\invoice-series-db.js:184","3","C:\FacturalesNuevo\settings.html:1; C:\FacturalesNuevo\invoices\quote.html:1; C:\FacturalesNuevo\invoices\new.html:1","window.createSeries = createSeries;"
"createTransaction","C:\FacturalesNuevo\assets\js\transactions.js:510","3","C:\FacturalesNuevo\assets\js\scan-ocr-page.js:2; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.createTransaction = createTransaction;"
"createUserProgress","C:\FacturalesNuevo\assets\js\onboardingProgress.js:530","0","","window.createUserProgress = createUserProgress;"
"csvImport","C:\FacturalesNuevo\assets\js\csv-import.js:279","2","C:\FacturalesNuevo\assets\js\users-page.js:2","window.csvImport = {"
"currentFinancePeriod","C:\FacturalesNuevo\index.html:2686","3","C:\FacturalesNuevo\index.html:3","window.currentFinancePeriod = period;"
"currentFinancePeriod","C:\FacturalesNuevo\index.html:2675","3","C:\FacturalesNuevo\index.html:3","window.currentFinancePeriod = 'year';"
"currentRevenueRange","C:\FacturalesNuevo\index.html:1425","2","C:\FacturalesNuevo\index.html:2","window.currentRevenueRange = rangeKey;"
"currentRevenueRange","C:\FacturalesNuevo\index.html:1418","2","C:\FacturalesNuevo\index.html:2","window.currentRevenueRange = 'year';"
"deleteBusinessInfo","C:\FacturalesNuevo\assets\js\businessInfo.js:265","0","","window.deleteBusinessInfo = deleteBusinessInfo;"
"deleteClient","C:\FacturalesNuevo\assets\js\clients.js:395","0","","window.deleteClient = deleteClient;"
"deleteInvoice","C:\FacturalesNuevo\assets\js\invoices.js:603","1","C:\FacturalesNuevo\assets\js\issued-page.js:1","window.deleteInvoice = deleteInvoice;"
"deleteQuote","C:\FacturalesNuevo\assets\js\quotes.js:509","1","C:\FacturalesNuevo\assets\js\quote-issued-page.js:1","window.deleteQuote = deleteQuote;"
"deleteSeriesDB","C:\FacturalesNuevo\assets\js\invoice-series-db.js:186","1","C:\FacturalesNuevo\settings.html:1","window.deleteSeriesDB = deleteSeries;"
"deleteTransaction","C:\FacturalesNuevo\assets\js\transactions.js:514","2","C:\FacturalesNuevo\assets\js\expenses-page.js:2","window.deleteTransaction = deleteTransaction;"
"editDraft","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:317","1","C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.editDraft = editDraft;"
"editDraft","C:\FacturalesNuevo\assets\js\drafts-page.js:317","1","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.editDraft = editDraft;"
"editTeamUser","C:\FacturalesNuevo\settings.html:5803","0","","window.editTeamUser = function(id) {"
"editTransaction","C:\FacturalesNuevo\assets\js\expenses-page.js:1196","0","","window.editTransaction = editTransaction;"
"emitInvoice","C:\FacturalesNuevo\assets\js\invoices.js:606","3","C:\FacturalesNuevo\invoices\preview.html:3","window.emitInvoice = emitInvoice;"
"emitQuote","C:\FacturalesNuevo\assets\js\quotes.js:512","6","C:\FacturalesNuevo\invoices\quote-preview.html:3; C:\FacturalesNuevo\assets\js\quote-page.js:3","window.emitQuote = emitQuote;"
"emitQuoteDirectly","C:\FacturalesNuevo\assets\js\quote-page.js:924","0","","window.emitQuoteDirectly = emitQuoteDirectly;"
"exportContactsCSV","C:\FacturalesNuevo\assets\js\users-page.js:1125","0","","window.exportContactsCSV = exportContactsCSV;"
"exportFiscalZIP","C:\FacturalesNuevo\assets\js\fiscal-page.js:501","1","C:\FacturalesNuevo\fiscal.html:1","window.exportFiscalZIP = async function () {"
"filterClients","C:\FacturalesNuevo\assets\js\invoice.js:422","0","","window.filterClients = filterClients;"
"fiscalCalc","C:\FacturalesNuevo\assets\js\fiscal-calc.js:231","20","C:\FacturalesNuevo\assets\js\fiscal-page.js:20","window.fiscalCalc = {"
"formatCurrency","C:\FacturalesNuevo\assets\js\transactions.js:515","4","C:\FacturalesNuevo\assets\js\invoices.js:1; C:\FacturalesNuevo\assets\js\issued-page.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.formatCurrency = formatCurrency;"
"formatCurrency","C:\FacturalesNuevo\assets\js\invoices.js:609","4","C:\FacturalesNuevo\assets\js\issued-page.js:1; C:\FacturalesNuevo\assets\js\transactions.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.formatCurrency = formatCurrency;"
"formatDate","C:\FacturalesNuevo\assets\js\transactions.js:516","6","C:\FacturalesNuevo\assets\js\issued-page.js:2; C:\FacturalesNuevo\assets\js\drafts-page.js:2; C:\FacturalesNuevo\assets\js\expenses-page.js:1; C:\FacturalesNuevo\assets\js\invoices.js:1","window.formatDate = formatDate;"
"formatDate","C:\FacturalesNuevo\assets\js\invoices.js:608","6","C:\FacturalesNuevo\assets\js\issued-page.js:2; C:\FacturalesNuevo\assets\js\drafts-page.js:2; C:\FacturalesNuevo\assets\js\transactions.js:1; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.formatDate = formatDate;"
"formatFullAddress","C:\FacturalesNuevo\assets\js\clients.js:398","1","C:\FacturalesNuevo\index.html:1","window.formatFullAddress = formatFullAddress;"
"formatInvoiceNumber","C:\FacturalesNuevo\assets\js\invoices.js:607","1","C:\FacturalesNuevo\assets\js\invoice-numbering.js:1","window.formatInvoiceNumber = formatInvoiceNumber;"
"formatInvoiceNumber","C:\FacturalesNuevo\assets\js\invoice-numbering.js:211","1","C:\FacturalesNuevo\assets\js\invoices.js:1","window.formatInvoiceNumber = formatInvoiceNumber;"
"formatQuoteCurrency","C:\FacturalesNuevo\assets\js\quotes.js:515","2","C:\FacturalesNuevo\assets\js\quote-issued-page.js:1; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.formatQuoteCurrency = formatCurrency;"
"formatQuoteDate","C:\FacturalesNuevo\assets\js\quotes.js:514","4","C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:2","window.formatQuoteDate = formatDate;"
"formatQuoteNumber","C:\FacturalesNuevo\assets\js\quotes.js:513","0","","window.formatQuoteNumber = formatQuoteNumber;"
"getBusinessInfo","C:\FacturalesNuevo\signin.html:742","18","C:\FacturalesNuevo\assets\js\user-header.js:3; C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\assets\js\fiscal-page.js:2; C:\FacturalesNuevo\signin.html:1; C:\FacturalesNuevo\complete-profile.html:1; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1; C:\FacturalesNuevo\assets\js\businessInfo.js:1","if (typeof window.getBusinessInfo === 'function') {"
"getBusinessInfo","C:\FacturalesNuevo\assets\js\user-header.js:76","18","C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\signin.html:2; C:\FacturalesNuevo\assets\js\fiscal-page.js:2; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\businessInfo.js:1; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1; C:\FacturalesNuevo\complete-profile.html:1","if (typeof window.getBusinessInfo === 'function') {"
"getBusinessInfo","C:\FacturalesNuevo\assets\js\businessInfo.js:263","18","C:\FacturalesNuevo\assets\js\user-header.js:3; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\assets\js\fiscal-page.js:2; C:\FacturalesNuevo\signin.html:2; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1; C:\FacturalesNuevo\complete-profile.html:1","window.getBusinessInfo = getBusinessInfo;"
"getCategoryLabel","C:\FacturalesNuevo\assets\js\transactions.js:519","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.getCategoryLabel = getCategoryLabel;"
"getClientById","C:\FacturalesNuevo\assets\js\clients.js:393","2","C:\FacturalesNuevo\assets\js\transactions.js:1; C:\FacturalesNuevo\assets\js\modal-cliente.js:1","window.getClientById = getClientById;"
"getClientName","C:\FacturalesNuevo\assets\js\transactions.js:517","0","","window.getClientName = getClientName;"
"getClients","C:\FacturalesNuevo\assets\js\clients.js:392","2","C:\FacturalesNuevo\index.html:2","window.getClients = getClients;"
"getCurrentSession","C:\FacturalesNuevo\assets\js\auth.js:469","0","","window.getCurrentSession = getCurrentSession;"
"getCurrentUser","C:\FacturalesNuevo\assets\js\auth.js:468","23","C:\FacturalesNuevo\settings.html:7; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\assets\js\user-header.js:3; C:\FacturalesNuevo\assets\js\onboardingProgress.js:3; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:2; C:\FacturalesNuevo\assets\js\auth-guard.js:1; C:\FacturalesNuevo\invoices\preview.html:1","window.getCurrentUser = getCurrentUser;"
"getInitials","C:\FacturalesNuevo\assets\js\clients.js:397","2","C:\FacturalesNuevo\index.html:1; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.getInitials = getInitials;"
"getInvoiceById","C:\FacturalesNuevo\assets\js\invoices.js:601","7","C:\FacturalesNuevo\invoices\preview.html:3; C:\FacturalesNuevo\assets\js\new-page.js:3; C:\FacturalesNuevo\assets\js\invoices.js:1","window.getInvoiceById = getInvoiceById;"
"getInvoiceDefaults","C:\FacturalesNuevo\assets\js\invoice-defaults.js:343","0","","window.getInvoiceDefaults = getInvoiceDefaults;"
"getInvoices","C:\FacturalesNuevo\assets\js\invoices.js:600","8","C:\FacturalesNuevo\assets\js\issued-page.js:4; C:\FacturalesNuevo\assets\js\drafts-page.js:3; C:\FacturalesNuevo\assets\js\invoice-numbering.js:1","window.getInvoices = getInvoices;"
"getInvoiceSeriesStats","C:\FacturalesNuevo\assets\js\invoice-numbering.js:209","0","","window.getInvoiceSeriesStats = getInvoiceSeriesStats;"
"getNextInvoiceNumber","C:\FacturalesNuevo\assets\js\invoice-numbering.js:208","0","","window.getNextInvoiceNumber = getNextInvoiceNumber;"
"getQuoteById","C:\FacturalesNuevo\assets\js\quotes.js:507","7","C:\FacturalesNuevo\invoices\quote-preview.html:3; C:\FacturalesNuevo\assets\js\quote-page.js:3; C:\FacturalesNuevo\assets\js\quotes.js:1","window.getQuoteById = getQuoteById;"
"getQuotes","C:\FacturalesNuevo\assets\js\quotes.js:506","8","C:\FacturalesNuevo\assets\js\quote-issued-page.js:4; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:3; C:\FacturalesNuevo\assets\js\quotes.js:1","window.getQuotes = getQuotes;"
"getQuoteStatusBadge","C:\FacturalesNuevo\assets\js\quotes.js:516","0","","window.getQuoteStatusBadge = getStatusBadge;"
"getSelectedClientId","C:\FacturalesNuevo\assets\js\quote-clients.js:328","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.getSelectedClientId = getSelectedClientId;"
"getSelectedClientId","C:\FacturalesNuevo\assets\js\quote-page.js:571","5","C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-page.js:1; C:\FacturalesNuevo\assets\js\quote-clients.js:1; C:\FacturalesNuevo\assets\js\invoice-clients.js:1","const clientId = (typeof window.getSelectedClientId === 'function')"
"getSelectedClientId","C:\FacturalesNuevo\assets\js\invoice-clients.js:328","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.getSelectedClientId = getSelectedClientId;"
"getSelectedClientId","C:\FacturalesNuevo\assets\js\new-page.js:563","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\invoice-clients.js:1; C:\FacturalesNuevo\assets\js\quote-clients.js:1; C:\FacturalesNuevo\assets\js\new-page.js:1","const clientId = (typeof window.getSelectedClientId === 'function')"
"getStatusBadge","C:\FacturalesNuevo\assets\js\invoices.js:610","0","","window.getStatusBadge = getStatusBadge;"
"getTransactionById","C:\FacturalesNuevo\assets\js\transactions.js:512","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.getTransactionById = getTransactionById;"
"getTransactions","C:\FacturalesNuevo\assets\js\transactions.js:511","6","C:\FacturalesNuevo\index.html:4; C:\FacturalesNuevo\assets\js\expenses-page.js:1; C:\FacturalesNuevo\assets\js\transactions.js:1","window.getTransactions = getTransactions;"
"getTransactionStats","C:\FacturalesNuevo\assets\js\transactions.js:521","0","","window.getTransactionStats = getTransactionStats;"
"getUserProgress","C:\FacturalesNuevo\assets\js\onboardingProgress.js:529","2","C:\FacturalesNuevo\settings.html:2","window.getUserProgress = getUserProgress;"
"getUserProvider","C:\FacturalesNuevo\settings.html:4795","3","C:\FacturalesNuevo\settings.html:2; C:\FacturalesNuevo\assets\js\auth.js:1","if (typeof window.getUserProvider === 'function') {"
"getUserProvider","C:\FacturalesNuevo\assets\js\auth.js:476","3","C:\FacturalesNuevo\settings.html:3","window.getUserProvider = getUserProvider;"
"getUserSeries","C:\FacturalesNuevo\assets\js\invoice-series-db.js:183","9","C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\invoices\new.html:3","window.getUserSeries = getUserSeries;"
"globalSearch","C:\FacturalesNuevo\assets\js\global-search.js:407","1","C:\FacturalesNuevo\components\header-unified.html:1","window.globalSearch = { open: open, close: close };"
"goToPage","C:\FacturalesNuevo\assets\js\expenses-page.js:1207","0","","window.goToPage = goToPage;"
"goToPreview","C:\FacturalesNuevo\assets\js\quote-page.js:925","5","C:\FacturalesNuevo\invoices\quote.html:2; C:\FacturalesNuevo\invoices\new.html:2; C:\FacturalesNuevo\assets\js\new-page.js:1","window.goToPreview = goToPreview;"
"goToPreview","C:\FacturalesNuevo\assets\js\new-page.js:819","5","C:\FacturalesNuevo\invoices\quote.html:2; C:\FacturalesNuevo\invoices\new.html:2; C:\FacturalesNuevo\assets\js\quote-page.js:1","window.goToPreview = goToPreview;"
"handleAmountFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1185","0","","window.handleAmountFilter = handleAmountFilter;"
"handleBulkDelete","C:\FacturalesNuevo\assets\js\expenses-page.js:1217","0","","window.handleBulkDelete = handleBulkDelete;"
"handleClientSearch","C:\FacturalesNuevo\assets\js\quote-clients.js:321","1","C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.handleClientSearch = handleClientSearch;"
"handleClientSearch","C:\FacturalesNuevo\assets\js\invoice-clients.js:321","1","C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.handleClientSearch = handleClientSearch;"
"handleContactAutocomplete","C:\FacturalesNuevo\assets\js\expenses-page.js:1194","0","","window.handleContactAutocomplete = handleContactAutocomplete;"
"handleDashboardSearchClients","C:\FacturalesNuevo\index.html:2071","0","","window.handleDashboardSearchClients = handleDashboardSearchClients;"
"handleDateFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1186","0","","window.handleDateFilter = handleDateFilter;"
"handleDeleteTransaction","C:\FacturalesNuevo\assets\js\expenses-page.js:1197","0","","window.handleDeleteTransaction = handleDeleteTransaction;"
"handleInvoiceSaveClient","C:\FacturalesNuevo\assets\js\invoice-clients.js:327","0","","window.handleInvoiceSaveClient = handleInvoiceSaveClient;"
"handleLogout","C:\FacturalesNuevo\assets\js\user-header.js:171","0","","window.handleLogout = handleLogout;"
"handleQuoteSaveClient","C:\FacturalesNuevo\assets\js\quote-clients.js:327","0","","window.handleQuoteSaveClient = handleQuoteSaveClient;"
